logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-286.98,0.43184,0,0.5,0.05,7.35502,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99252,-nan,-nan,-nan,0.493901,0,-nan,-nan
-281.504,0.280321,0,0.5,0.05,7.45128,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990361,-nan,-nan,-nan,0.496635,0,-nan,-nan
-280.503,0.43184,0,0.5,0.05,11.1359,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996566,-nan,-nan,-nan,0.490574,0,-nan,-nan
-276.744,0.280321,0,0.5,0.05,10.3373,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999293,-nan,-nan,-nan,0.499188,0,-nan,-nan
-281.781,0.828419,0,0.5,0.05,10.9207,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999763,-nan,-nan,-nan,0.503288,0,-nan,-nan
-281.725,0.280321,0,0.5,0.05,13.4657,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999295,-nan,-nan,-nan,0.488221,0,-nan,-nan
-295.83,0.950695,0,0.5,0.05,22.9008,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998159,-nan,-nan,-nan,0.50516,-nan,-nan,-nan
-294.762,0.533369,0,0.5,0.05,13.7792,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996948,-nan,-nan,-nan,0.505443,-nan,-nan,-nan
-287.023,0.828419,0,0.5,0.05,13.2048,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998962,-nan,-nan,-nan,0.52036,0,-nan,-nan
-279.472,0.280321,0,0.5,0.05,12.9991,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998274,-nan,-nan,-nan,0.512,0,-nan,-nan
-305.227,0.950695,0,0.5,0.05,26.0629,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998929,-nan,-nan,-nan,0.508272,-nan,-nan,-nan
-283.069,0.280321,0,0.5,0.05,13.1384,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998601,-nan,-nan,-nan,0.500609,0,-nan,-nan
-288.711,0.828419,0,0.5,0.05,15.2971,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999289,-nan,-nan,-nan,0.51958,0,-nan,-nan
-293.34,0.252601,0,0.5,0.05,12.0288,1,2.06115e-09,-nan,-nan,-nan,-nan,0.9992,-nan,-nan,-nan,0.505748,-nan,-nan,-nan
-297.762,0.0107627,0,0.5,0.05,6.69249,1,2.06115e-09,-nan,-nan,-nan,-nan,0.98593,-nan,-nan,-nan,0.504791,-nan,-nan,-nan
-278.785,0.280321,0,0.5,0.05,8.15976,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998257,-nan,-nan,-nan,0.508765,0,-nan,-nan
-293.447,0.828419,0,0.5,0.05,11.8245,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998963,-nan,-nan,-nan,0.515858,0,-nan,-nan
-279.336,0.280321,0,0.5,0.05,8.46678,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995546,-nan,-nan,-nan,0.5,0,-nan,-nan
-294.103,0.828419,0,0.5,0.05,12.4289,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996421,-nan,-nan,-nan,0.506039,0,-nan,-nan
-282.955,0.280321,0,0.5,0.05,9.81732,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998578,-nan,-nan,-nan,0.50702,0,-nan,-nan
-281.132,0.828419,0,0.5,0.05,12.0271,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995938,-nan,-nan,-nan,0.518534,0,-nan,-nan
-280.791,0.828419,0,0.5,0.05,11.5041,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994444,-nan,-nan,-nan,0.494711,0,-nan,-nan
-284.397,0.280321,0,0.5,0.05,10.1115,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99859,-nan,-nan,-nan,0.50705,0,-nan,-nan
-281.463,0.280321,0,0.5,0.05,8.78825,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992701,-nan,-nan,-nan,0.50712,0,-nan,-nan
-282.679,0.280321,0,0.5,0.05,9.97808,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995763,-nan,-nan,-nan,0.49635,0,-nan,-nan
-285.131,0.828419,0,0.5,0.05,13.7507,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999647,-nan,-nan,-nan,0.505856,0,-nan,-nan
-286.119,0.280321,0,0.5,0.05,8.09736,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99596,-nan,-nan,-nan,0.509567,0,-nan,-nan
-282.515,0.828419,0,0.5,0.05,13.8112,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99933,-nan,-nan,-nan,0.501882,0,-nan,-nan
-282.428,0.280321,0,0.5,0.05,7.01512,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991707,-nan,-nan,-nan,0.491567,0,-nan,-nan
-289.123,0.43184,0,0.5,0.05,9.58373,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994313,-nan,-nan,-nan,0.499607,0,-nan,-nan
-295.566,0.533369,0,0.5,0.05,12.9474,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998772,-nan,-nan,-nan,0.510078,-nan,-nan,-nan
-282.447,0.280321,0,0.5,0.05,8.1266,1,2.06115e-09,-nan,-nan,-nan,-nan,0.987395,-nan,-nan,-nan,0.494854,0,-nan,-nan
-286.57,0.828419,0,0.5,0.05,14.4456,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999711,-nan,-nan,-nan,0.499599,0,-nan,-nan
-285.268,0.828419,0,0.5,0.05,15.0169,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.498384,0,-nan,-nan
-287.132,0.828419,0,0.5,0.05,13.6208,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997131,-nan,-nan,-nan,0.516026,0,-nan,-nan
-294.532,0.0107627,0,0.5,0.05,9.3336,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998664,-nan,-nan,-nan,0.50579,-nan,-nan,-nan
-279.311,0.280321,0,0.5,0.05,7.67156,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993534,-nan,-nan,-nan,0.5017,0,-nan,-nan
