logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-769.395,0.533369,0,0.5,0.05,9.73294,1,2.06115e-09,-nan,-nan,-nan,-nan,0.988334,-nan,-nan,-nan,0.511167,0.00632625,0.00203105,-nan
-782.672,0.252601,0,0.5,0.05,6.66762,1,2.06115e-09,-nan,-nan,-nan,-nan,0.970842,-nan,-nan,-nan,0.51357,0.00781105,0.00402057,-nan
-757.062,0.828419,0,0.5,0.05,17.6428,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995339,-nan,-nan,-nan,0.518112,0.00168492,0.000451977,-nan
-772.122,0.533369,0,0.5,0.05,10.3861,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981939,-nan,-nan,-nan,0.522055,0.00993377,0.00107759,-nan
-764.973,0.533369,0,0.5,0.05,9.61648,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990881,-nan,-nan,-nan,0.523126,0,0.00628931,-nan
-763.442,0.828419,0,0.5,0.05,18.0448,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.516878,0,0,-nan
-762.526,0.0107627,0,0.5,0.05,12.3224,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99145,-nan,-nan,-nan,0.516258,0.00314465,0.000459982,-nan
-761.673,0.43184,0,0.5,0.05,16.2025,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995125,-nan,-nan,-nan,0.511315,0.00582072,0.00176056,-nan
-759.597,0.828419,0,0.5,0.05,18.7349,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997934,-nan,-nan,-nan,0.517862,0,0,-nan
-772.59,0.0107627,0,0.5,0.05,14.6964,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99384,-nan,-nan,-nan,0.507648,0.00749064,0.00310238,-nan
-764.912,0.828419,0,0.5,0.05,19.9146,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.516091,0,0,-nan
-760.057,0.533369,0,0.5,0.05,11.5021,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989837,-nan,-nan,-nan,0.525105,0.00532623,0.00183066,-nan
-767.428,0.252601,0,0.5,0.05,14.4345,1,2.06115e-09,-nan,-nan,-nan,-nan,0.983016,-nan,-nan,-nan,0.514764,0.00707965,0.00298775,-nan
-765.191,0.0107627,0,0.5,0.05,15.1579,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995614,-nan,-nan,-nan,0.517551,0.00543478,0.0008,-nan
-767.776,0.0107627,0,0.5,0.05,15.5159,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99705,-nan,-nan,-nan,0.504839,0,0,-nan
-764.074,0.0107627,0,0.5,0.05,16.9358,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.522892,0,0,-nan
-764.059,0.930763,0,0.5,0.05,14.3039,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991311,-nan,-nan,-nan,0.51812,0.00321027,0.000848057,-nan
-760.537,0.950695,0,0.5,0.05,15.3037,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994312,-nan,-nan,-nan,0.514026,0.00298211,0.00108865,-nan
-764.745,0.828419,0,0.5,0.05,22.3243,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999264,-nan,-nan,-nan,0.505842,0.00311526,0.000786782,-nan
-758.218,0.43184,0,0.5,0.05,13.2021,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996,-nan,-nan,-nan,0.513688,0.00105597,0.000256476,-nan
